nodeName	altName	nodeAttr.nodesPresent...
cyoD_b0429_14	cyoD_b0429_14	thistle
cyoE_b0428_14	cyoE_b0428_14	thistle
cysA_b2422_14	cysA_b2422_14	green
cysB_b1275_15	cysB_b1275_15	turquoise
cysC_b2750_15	cysC_b2750_15	green
cysD_b2752_15	cysD_b2752_15	green
cysE_b3607_15	cysE_b3607_15	turquoise
cysG_b3368_15	cysG_b3368_15	greenyellow
cysH_b2762_15	cysH_b2762_15	green
cysI_b2763_14	cysI_b2763_14	green
cysJ_b2764_14	cysJ_b2764_14	green
cysK_b2414_15	cysK_b2414_15	green
cysM_b2421_15	cysM_b2421_15	green
cysN_b2751_15	cysN_b2751_15	green
cysP_b2425_15	cysP_b2425_15	green
cysQ_b4214_15	cysQ_b4214_15	brown
cysS_b0526_15	cysS_b0526_15	turquoise
cysT_b1910_14	cysT_b1910_14	lightyellow
cysU_b2424_14	cysU_b2424_14	green
cysW_b2423_28	cysW_b2423_28	green
cysZ_b2413_15	cysZ_b2413_15	pink
cytR_b3934_14	cytR_b3934_14	turquoise
dacA_b0632_14	dacA_b0632_14	pink
dacB_b3182_15	dacB_b3182_15	turquoise
dacC_b0839_15	dacC_b0839_15	brown
dacD_b2010_14	dacD_b2010_14	magenta
dadA_b1189_15	dadA_b1189_15	darkturquoise
dadX_b1190_15	dadX_b1190_15	darkturquoise
dam_b3387_15	dam_b3387_15	turquoise
damX_b3388_14	damX_b3388_14	turquoise
dapA_b2478_14	dapA_b2478_14	turquoise
dapB_b0031_15	dapB_b0031_15	green
dapD_b0166_14	dapD_b0166_14	turquoise
dapE_b2472_15	dapE_b2472_15	yellow
dapF_b3809_14	dapF_b3809_14	turquoise
dbpA_b1343_15	dbpA_b1343_15	blue
dcd_b2065_14	dcd_b2065_14	turquoise
dcm_b1961_14	dcm_b1961_14	turquoise
dcp_b1538_14	dcp_b1538_14	yellow
dcrB_b3472_15	dcrB_b3472_15	turquoise
dctA_b3528_15	dctA_b3528_15	darkorange2
dctR_b3507_15	dctR_b3507_15	royalblue
dcuA_b4138_14	dcuA_b4138_14	greenyellow
dcuB_b4123_14	dcuB_b4123_14	greenyellow
dcuC_b0621_15	dcuC_b0621_15	greenyellow
dcuD_b3227_15	dcuD_b3227_15	yellow
dcuR_b4124_14	dcuR_b4124_14	turquoise
dcuS_b4125_15	dcuS_b4125_15	turquoise
dcyD_b1919_14	dcyD_b1919_14	green
ddlA_b0381_14	ddlA_b0381_14	turquoise
ddlB_b0092_15	ddlB_b0092_15	turquoise
ddpA_b1487_15	ddpA_b1487_15	blue
ddpB_b1486_15	ddpB_b1486_15	blue
ddpC_b1485_14	ddpC_b1485_14	blue
ddpD_b1484_14	ddpD_b1484_14	blue
ddpF_b1483_15	ddpF_b1483_15	blue
ddpX_b1488_14	ddpX_b1488_14	blue
deaD_b3162_14	deaD_b3162_14	turquoise
dedA_b2317_14	dedA_b2317_14	turquoise
dedD_b2314_14	dedD_b2314_14	turquoise
def_b3287_15	def_b3287_15	darkolivegreen
degQ_b3234_15	degQ_b3234_15	brown
degS_b3235_15	degS_b3235_15	turquoise
deoA_b4382_15	deoA_b4382_15	antiquewhite4
deoB_b4383_15	deoB_b4383_15	antiquewhite4
deoC_b4381_15	deoC_b4381_15	antiquewhite4
deoD_b4384_15	deoD_b4384_15	antiquewhite4
deoR_b0840_15	deoR_b0840_15	pink
der_b2511_15	der_b2511_15	turquoise
dfp_b3639_14	dfp_b3639_14	turquoise
dgkA_b4042_15	dgkA_b4042_15	turquoise
dgoD_b4478_14	dgoD_b4478_14	yellow
dgoK_b3693_14	dgoK_b3693_14	red
dgoR_b4479_29	dgoR_b4479_29	black
dgoT_b3691_15	dgoT_b3691_15	yellow
dgsA_b1594_14	dgsA_b1594_14	yellow
dgt_b0160_15	dgt_b0160_15	turquoise
dhaK_b1200_15	dhaK_b1200_15	orangered3
dhaL_b1199_14	dhaL_b1199_14	orangered3
dhaM_b1198_15	dhaM_b1198_15	orangered3
dhaR_b1201_15	dhaR_b1201_15	magenta
diaA_b3149_15	diaA_b3149_15	turquoise
dicA_b1570_15	dicA_b1570_15	turquoise
dicB_b1575_15	dicB_b1575_15	blue
dicC_b1569_15	dicC_b1569_15	blue
dicF_b1574_15	dicF_b1574_15	blue
dinB_b0231_15	dinB_b0231_15	lightcyan
dinD_b3645_15	dinD_b3645_15	lightcyan
dinF_b4044_15	dinF_b4044_15	lightcyan
dinG_b0799_15	dinG_b0799_15	lightcyan
dinI_b1061_14	dinI_b1061_14	lightcyan
dinJ_b0226_15	dinJ_b0226_15	salmon
dinQ_b4613_4	dinQ_b4613_4	lightcyan
dipZ_b4136_14	dipZ_b4136_14	turquoise
djlA_b0055_15	djlA_b0055_15	turquoise
djlB_b0646_15	djlB_b0646_15	blue
djlC_b0649_15	djlC_b0649_15	tan
dkgA_b3012_25	dkgA_b3012_25	brown
dksA_b0145_15	dksA_b0145_15	turquoise
dld_b2133_15	dld_b2133_15	green
dmsA_b0894_21	dmsA_b0894_21	greenyellow
dmsB_b0895_15	dmsB_b0895_15	greenyellow
dmsC_b0896_15	dmsC_b0896_15	steelblue
dmsD_b1591_15	dmsD_b1591_15	steelblue
dnaA_b3702_14	dnaA_b3702_14	turquoise
dnaB_b4052_15	dnaB_b4052_15	turquoise
dnaC_b4361_15	dnaC_b4361_15	turquoise
dnaE_b0184_15	dnaE_b0184_15	turquoise
dnaG_b3066_15	dnaG_b3066_15	lightgreen
dnaJ_b0015_15	dnaJ_b0015_15	darkgrey
dnaK_b0014_15	dnaK_b0014_15	darkgrey
dnaN_b3701_15	dnaN_b3701_15	turquoise
dnaQ_b0215_15	dnaQ_b0215_15	turquoise
dnaT_b4362_14	dnaT_b4362_14	turquoise
dnaX_b0470_15	dnaX_b0470_15	turquoise
dos_b1489_14	dos_b1489_14	blue
dpiB_b0619_14	dpiB_b0619_14	black
dppA_b3544_14	dppA_b3544_14	bisque4
dppB_b3543_14	dppB_b3543_14	bisque4
dppC_b3542_14	dppC_b3542_14	bisque4
dppD_b3541_14	dppD_b3541_14	bisque4
dppF_b3540_15	dppF_b3540_15	bisque4
dps_b0812_15	dps_b0812_15	brown
dsbA_b3860_15	dsbA_b3860_15	turquoise
